643,凥,5,ju1,ju105
644,尻,5,kao1,kao105
645,尼,5,ni2,ni205
646,民,5,min2,min205
647,弗,5,fu2,fu205
648,邔,5,qi3,qi305
649,弘,5,hong2,hong205
650,疋,5,pi3,pi305
651,阢,5,wu4,wu405
652,叾,5,zzzzzz5,zzzzzz599
653,出,5,chu1,chu105
654,阡,5,qian1,qian105
655,阣,5,yi4,yi405
656,辽,5,liao2,liao205
657,阠,5,xin4,xin405
658,阤,5,tuo2,tuo205
659,氶,5,zheng3,zheng305
660,氹,5,dang4,dang405
661,奵,5,ding3,ding305
662,邚,5,ru2,ru205
663,奶,5,nai3,nai305
664,奴,5,nu2,nu205
665,丱,5,guan4,guan405
666,尕,5,ga3,ga305
667,加,5,jia1,jia105
668,召,5,zhao4,zhao405
669,皮,5,pi2,pi205
670,辸,5,reng2,reng205
671,边,5,bian1,bian105
672,辺,5,bian1,bian105
673,孕,5,yun4,yun405
674,发,5,fa1,fa105
675,圣,5,sheng4,sheng405
676,对,5,dui4,dui405
677,弁,5,bian4,bian405
678,厼,5,zzzzzz5,zzzzzz599
679,台,5,tai2,tai205
680,癶,5,bo1,bo105
681,矛,5,mao2,mao205
682,纠,5,jiu1,jiu105
683,驭,5,yu4,yu405
684,母,5,mu3,mu305
685,幼,5,you4,you405
686,丝,5,si1,si105
687,廵,5,xun2,xun205
688,弎,6,san1,san106
689,弐,6,er4,er406
690,匡,6,kuang1,kuang106
691,耒,6,lei3,lei306
692,邦,6,bang1,bang106
693,玎,6,ding1,ding106
694,兲,6,tian1,tian106
695,玐,6,ba1,ba106
696,玑,6,ji1,ji106
697,玏,6,le4,le406
698,丟,6,diu1,diu106
699,式,6,shi4,shi406
700,迀,6,gan1,gan106
701,迂,6,yu1,yu106
702,幵,6,jian1,jian106
703,刑,6,xing2,xing206
704,邢,6,xing2,xing206
705,邞,6,fu1,fu106
706,刓,6,wan2,wan206
707,戎,6,rong2,rong206
708,邧,6,yuan2,yuan206
709,忈,6,ren2,ren206
710,动,6,dong4,dong406
711,迃,6,yu1,yu106
712,圩,6,wei2,wei206
713,扜,6,yu1,yu106
714,扞,6,han4,han406
715,圬,6,wu1,wu106
716,扝,6,ku1,ku106
717,圭,6,gui1,gui106
718,扗,6,zai4,zai406
719,扛,6,kang2,kang206
720,圷,6,zzzzzz5,zzzzzz599
721,寺,6,si4,si406
722,扙,6,zhang4,zhang406
723,扤,6,wu4,wu406
724,圵,6,dang4,dang406
725,卋,6,shi4,shi406
726,吉,6,ji2,ji206
727,扣,6,kou4,kou406
728,圸,6,zzzzzz5,zzzzzz599
729,圲,6,qian1,qian106
730,扦,6,qian1,qian106
731,圪,6,ge1,ge106
732,圫,6,yu4,yu406
733,托,6,tuo1,tuo106
734,扢,6,gu3,gu306
735,扥,6,tuo1,tuo106
736,考,6,kao3,kao306
737,圳,6,zhen4,zhen406
738,老,6,lao3,lao306
739,圴,6,zhuo2,zhuo206
740,圾,6,ji1,ji106
741,巩,6,gong3,gong306
742,扚,6,diao1,diao106
743,执,6,zhi2,zhi206
744,扱,6,xi1,xi106
745,圹,6,kuang4,kuang406
746,扩,6,kuo4,kuo406
747,扪,6,men2,men206
