stroke_index,,num_stroke,pinyin,pinyin_tone,pinyin_tone_stroke
21005,刍,5,chu,chu2,chu205
39268,饤,5,ding,ding4,ding405
21253,包,5,bao,bao1,bao105
39269,饥,5,ji,ji1,ji105
20027,主,5,zhu,zhu3,zhu305
20910,冮,5,gang,gang1,gang105
24066,市,5,shi,shi4,shi405
24193,庁,5,ting,ting1,ting105
24194,庂,5,ze,ze4,ze405
24192,庀,5,pi,pi3,pi305
30098,疒,5,chuang,chuang2,chuang205
37021,邝,5,kuang,kuang4,kuang405
24195,広,5,guang,guang3,guang305
31435,立,5,li,li4,li405
20911,冯,5,feng,feng2,feng205
37017,邙,5,mang,mang2,mang205
29572,玄,5,xuan,xuan2,xuan205
27703,氷,5,bing,bing1,bing105
38378,闪,5,shan,shan3,shan305
20848,兰,5,lan,lan2,lan205
21322,半,5,ban,ban4,ban405
27712,汀,5,ting,ting1,ting105
27713,汁,5,zhi,zhi1,zhi105
27717,汅,5,mian,mian3,mian305
27719,汇,5,hui,hui4,hui405
20071,乧,5,zzzzzz,zzzzzz5,zzzzzz599
22836,头,5,tou,tou2,tou205
27715,汃,5,bin,bin1,bin105
27716,汄,5,ze,ze4,ze405
27711,氿,5,gui,gui3,gui305
27720,汈,5,diao,diao1,diao105
27707,氻,5,le,le4,le405
27721,汉,5,han,han4,han405
27710,氾,5,fan,fan4,fan405
24522,忊,5,ding,ding4,ding405
24519,忇,5,le,le4,le405
24521,忉,5,dao,dao1,dao105
23425,宁,5,ning,ning2,ning205
31348,穴,5,xue,xue2,xue205
23426,宂,5,rong,rong3,rong305
23427,它,5,ta,ta1,ta105
23428,宄,5,gui,gui3,gui305
35750,讦,5,jie,jie2,jie205
35751,讧,5,hong,hong4,hong405
35752,讨,5,tao,tao3,tao305
25145,戹,5,e,e4,e405
20889,写,5,xie,xie3,xie305
35753,让,5,rang,rang4,rang405
34916,衤,5,yi,yi1,yi105
31036,礼,5,li,li3,li305
20890,冚,5,kan,kan3,kan305
35754,讪,5,shan,shan4,shan405
35755,讫,5,qi,qi4,qi405
35756,讬,5,tuo,tuo1,tuo105
35757,训,5,xun,xun4,xun405
24517,必,5,bi,bi4,bi405
35758,议,5,yi,yi4,yi405
35759,讯,5,xun,xun4,xun405
35760,记,5,ji,ji4,ji405
27704,永,5,yong,yong3,yong305
35761,讱,5,ren,ren4,ren405
21496,司,5,si,si1,si105
21455,叏,5,guai,guai4,guai405
20965,凥,5,ju,ju1,ju105
23611,尻,5,kao,kao1,kao105
23612,尼,5,ni,ni2,ni205
27665,民,5,min,min2,min205
24343,弗,5,fu,fu2,fu205
37012,邔,5,qi,qi3,qi305
24344,弘,5,hong,hong2,hong205
30091,疋,5,pi,pi3,pi305
38434,阢,5,wu,wu4,wu405
21502,叾,5,zzzzzz,zzzzzz5,zzzzzz599
20986,出,5,chu,chu1,chu105
38433,阡,5,qian,qian1,qian105
38435,阣,5,yi,yi4,yi405
36797,辽,5,liao,liao2,liao205
38432,阠,5,xin,xin4,xin405
38436,阤,5,tuo,tuo2,tuo205
27702,氶,5,zheng,zheng3,zheng305
27705,氹,5,dang,dang4,dang405
22901,奵,5,ding,ding3,ding305
37018,邚,5,ru,ru2,ru205
22902,奶,5,nai,nai3,nai305
22900,奴,5,nu,nu2,nu205
20017,丱,5,guan,guan4,guan405
23573,尕,5,ga,ga3,ga305
21152,加,5,jia,jia1,jia105
21484,召,5,zhao,zhao4,zhao405
30382,皮,5,pi,pi2,pi205
36792,辸,5,reng,reng2,reng205
36793,边,5,bian,bian1,bian105
36794,辺,5,bian,bian1,bian105
23381,孕,5,yun,yun4,yun405
21457,发,5,fa,fa1,fa105
22307,圣,5,sheng,sheng4,sheng405
23545,对,5,dui,dui4,dui405
24321,弁,5,bian,bian4,bian405
21436,厼,5,zzzzzz,zzzzzz5,zzzzzz599
21488,台,5,tai,tai2,tai205
30326,癶,5,bo,bo1,bo105
30683,矛,5,mao,mao2,mao205
32416,纠,5,jiu,jiu1,jiu105
39533,驭,5,yu,yu4,yu405
27597,母,5,mu,mu3,mu305
24188,幼,5,you,you4,you405
19997,丝,5,si,si1,si105
24309,廵,5,xun,xun2,xun205
24334,弎,6,san,san1,san106
24336,弐,6,er,er4,er406
21281,匡,6,kuang,kuang1,kuang106
32786,耒,6,lei,lei3,lei306
37030,邦,6,bang,bang1,bang106
29582,玎,6,ding,ding1,ding106
20850,兲,6,tian,tian1,tian106
29584,玐,6,ba,ba1,ba106
29585,玑,6,ji,ji1,ji106
29583,玏,6,le,le4,le406
19999,丟,6,diu,diu1,diu106
